               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.026109,           0.0088966,           0.0028778,             0.56611,             0.46183,             0.45444,             0.30868,            0.031665,           0.0091148,             0.05562,            0.003664,            0.003664,            0.003664
                 130,            0.025987,           0.0088827,           0.0028083,             0.55916,             0.46355,             0.45376,             0.30795,            0.031686,           0.0091281,            0.055867,           0.0036145,           0.0036145,           0.0036145
                 131,            0.025824,           0.0089841,           0.0027829,             0.55631,             0.46353,             0.45373,             0.30783,            0.031694,           0.0091314,            0.055957,            0.003565,            0.003565,            0.003565
                 132,            0.026033,           0.0088961,           0.0028424,             0.56385,             0.45983,             0.45359,             0.30785,              0.0317,           0.0091388,            0.055994,           0.0035155,           0.0035155,           0.0035155
                 133,            0.025751,           0.0089074,           0.0027187,             0.56805,             0.46047,             0.45376,             0.30783,            0.031706,           0.0091484,            0.056136,            0.003466,            0.003466,            0.003466
                 134,            0.025828,           0.0088706,           0.0024979,             0.56771,             0.46037,             0.45399,             0.30768,            0.031728,           0.0091487,            0.056227,           0.0034165,           0.0034165,           0.0034165
                 135,            0.025514,           0.0088671,           0.0026685,             0.56747,             0.45776,             0.45348,             0.30741,            0.031743,           0.0091596,            0.056492,            0.003367,            0.003367,            0.003367
                 136,             0.02547,           0.0087339,           0.0026773,             0.56393,             0.45758,             0.45317,             0.30687,             0.03176,           0.0091738,             0.05666,           0.0033175,           0.0033175,           0.0033175
                 137,            0.025733,           0.0087644,           0.0025949,             0.55296,             0.45838,             0.45339,             0.30688,            0.031783,            0.009184,             0.05693,            0.003268,            0.003268,            0.003268
                 138,            0.025475,           0.0087359,           0.0025172,              0.5465,             0.46134,             0.45202,             0.30604,            0.031809,           0.0091916,            0.057124,           0.0032185,           0.0032185,           0.0032185
                 139,            0.025401,           0.0087039,           0.0026158,             0.54456,             0.46178,             0.45141,             0.30551,            0.031835,           0.0092077,            0.057409,            0.003169,            0.003169,            0.003169
                 140,            0.025322,           0.0086806,           0.0024306,             0.54161,             0.46017,             0.45092,             0.30549,            0.031833,           0.0092312,            0.057603,           0.0031195,           0.0031195,           0.0031195
                 141,            0.025241,            0.008649,           0.0023723,             0.54371,             0.46007,             0.45093,              0.3054,            0.031847,           0.0092485,            0.057648,             0.00307,             0.00307,             0.00307
                 142,            0.025266,           0.0085768,            0.002515,             0.56708,             0.45256,             0.45041,              0.3054,            0.031873,             0.00928,            0.057672,           0.0030205,           0.0030205,           0.0030205
                 143,            0.025168,           0.0086884,           0.0025226,             0.56649,             0.45362,              0.4505,             0.30519,             0.03191,           0.0092989,            0.057674,            0.002971,            0.002971,            0.002971
